source,target,weight
Abejorral,Alejandría,72
Abejorral,Amagá,40
Abejorral,Andes,60
Abejorral,Angelópolis,49
Abejorral,Anza,79
Abejorral,Bello,65
Abejorral,Belmira,98
Abejorral,Betania,61
Abejorral,Caicedo,94
Abejorral,Caramanta,34
Abejorral,Cisneros,91
Abejorral,Ciudad Bolívar,66
Abejorral,Cocorná,39
Abejorral,Copacabana,63
Abejorral,Don Matías,78
Abejorral,Ebéjico,70
Abejorral,El Carmen De Viboral,27
Abejorral,El Santuario,40
Abejorral,Entrerrios,89
Abejorral,Envigado,45
Abejorral,Fredonia,30
Abejorral,Girardota,64
Abejorral,Guarne,53
Abejorral,Guatape,58
Abejorral,Heliconia,57
Abejorral,Itagui,47
Abejorral,Jardín,48
Abejorral,La Ceja,21
Abejorral,La Estrella,47
Abejorral,La Pintada,19
Abejorral,Marinilla,44
Abejorral,Santo Domingo,81
Abejorral,Medellín,52
Abejorral,Montebello,20
Abejorral,Nariño,34
Abejorral,Olaya,97
Abejorral,Peñol,55
Abejorral,Pueblorrico,48
Abejorral,Puerto Nare,88
Abejorral,Puerto Triunfo,87
Abejorral,Retiro,30
Abejorral,Sabaneta,43
Abejorral,Salgar,65
Abejorral,San Carlos,69
Abejorral,San Jerónimo,77
Abejorral,San Luis,55
Abejorral,San Pedro De Los Milagros,74
Abejorral,San Rafael,73
Abejorral,San Roque,88
Abejorral,San Vicente,58
Abejorral,Santafé De Antioquia,95
Abejorral,Sonson,16
Abejorral,Sopetrán,86
Abejorral,Támesis,36
Abejorral,Tarso,44
Abejorral,Titiribí,51
Abejorral,Aguadas,23
Abejorral,Anserma,74
Abejorral,Aranzazu,56
Abejorral,Belalcázar,98
Abejorral,Chinchiná,84
Abejorral,Filadelfia,58
Abejorral,La Dorada,88
Abejorral,La Merced,93
Abejorral,Manizales,80
Abejorral,Manzanares,68
Abejorral,Marmato,38
Abejorral,Marquetalia,68
Abejorral,Marulanda,65
Abejorral,Neira,67
Abejorral,Norcasia,67
Abejorral,Pácora,25
Abejorral,Pensilvania,57
Abejorral,Riosucio,53
Abejorral,Risaralda,48
Abejorral,Samaná,52
Abejorral,San José,55
Abejorral,Supía,45
Abejorral,Villamaría,95
Abejorral,Viterbo,97
Abejorral,Puerto Salgar,92
Abejorral,Cerro San Antonio,53
Abejorral,Apía,94
Abejorral,Belén De Umbría,82
Abejorral,Guática,66
Abejorral,Marsella,98
Abejorral,Mistrató,77
Abejorral,Pueblo Rico,91
Abejorral,Quinchía,60
Abejorral,Santuario,99
Abejorral,Casabianca,85
Abejorral,Falan,94
Abejorral,Fresno,82
Abejorral,Honda,99
Abejorral,Mariquita,88
Abriaquí,Amagá,78
Abriaquí,Angelópolis,68
Abriaquí,Angostura,85
Abriaquí,Anza,39
Abriaquí,Bello,62
Abriaquí,Belmira,43
Abriaquí,Betania,99
Abriaquí,Buriticá,26
Abriaquí,Caicedo,24
Abriaquí,Cañasgordas,20
Abriaquí,Carolina,85
Abriaquí,Ciudad Bolívar,86
Abriaquí,Copacabana,71
Abriaquí,Dabeiba,45
Abriaquí,Don Matías,77
Abriaquí,Ebéjico,47
Abriaquí,Entrerrios,57
Abriaquí,Envigado,74
Abriaquí,Fredonia,93
Abriaquí,Frontino,32
Abriaquí,Giraldo,15
Abriaquí,Girardota,76
