municipio,departamento,lat,lon,poblacion,riesgo
Abejorral,Antioquia,5.7914299,-75.4270381,19290,SIN RIESGO
Abriaquí,Antioquia,6.6284892,-76.083530093352,2128,SIN RIESGO
Alejandría,Antioquia,6.3557801,-75.0986624938931,4992,SIN RIESGO
Amagá,Antioquia,6.0358169,-75.7009108125,29555,SIN RIESGO
Amalfi,Antioquia,7.0204002,-74.9504758358016,22088,SIN RIESGO
Andes,Antioquia,5.62787175,-75.9451674495186,45814,SIN RIESGO
Angelópolis,Antioquia,6.1311539,-75.7207562709234,8946,SIN RIESGO
Angostura,Antioquia,6.8695288,-75.3454161996697,11354,SIN RIESGO
Anorí,Antioquia,7.17672705,-75.1562645503356,17086,SIN RIESGO
Anza,Antioquia,6.31509295,-75.9178133048554,7568,SIN RIESGO
Apartadó,Antioquia,7.9220227,-76.530722842286,178257,SIN RIESGO
Arboletes,Antioquia,8.6660255,-76.4194838482128,40147,SIN RIESGO
Argelia,Valle del Cauca,4.7271938,-76.1211518,6440,ALTO
Armenia,Quindio,4.4925756,-75.7394764685402,296691,SIN RIESGO
Barbosa,Santander,5.9328785,-73.6140874,28635,MEDIO
Bello,Antioquia,6.36117455,-75.589713296052,455807,SIN RIESGO
Belmira,Antioquia,6.64687305,-75.6879047756093,6760,SIN RIESGO
Betania,Antioquia,5.73407355,-75.9820513388304,9286,SIN RIESGO
Betulia,Santander,6.8997683,-73.2838219,5110,BAJO
Briceño,Boyacá,5.6908712,-73.9234546,2584,ALTO
Buriticá,Antioquia,6.80627485,-75.9217307243866,6601,SIN RIESGO
Cáceres,Antioquia,7.582364,-75.3477905,37806,MEDIO
Caicedo,Antioquia,6.42595665,-75.992108112588,8205,SIN RIESGO
Caldas,Boyacá,5.5544872,-73.8653516,3638,MEDIO
Campamento,Antioquia,7.07756515,-75.2943432655889,9091,SIN RIESGO
Cañasgordas,Antioquia,6.8140438,-76.0462452454564,16763,SIN RIESGO
Caracolí,Antioquia,6.4092756,-74.7566979,4595,SIN RIESGO
Caramanta,Antioquia,5.56200475,-75.6341883366136,5362,SIN RIESGO
Carepa,Antioquia,7.7977584,-76.7455146179126,55788,SIN RIESGO
Carolina,Antioquia,6.7501787,-75.3229229277351,3629,SIN RIESGO
Caucasia,Antioquia,7.82747905,-75.0452149149027,112168,SIN RIESGO
Chigorodó,Antioquia,7.61241355,-76.6359403826695,76202,SIN RIESGO
Cisneros,Antioquia,6.54495605,-75.080189676878,9058,INVIABLE SANITARIAMENTE
Ciudad Bolívar,Antioquia,5.8500342,-76.0208666,27084,SIN RIESGO
Cocorná,Antioquia,6.00398715,-75.1362078336584,14972,BAJO
Concepción,Santander,6.8014661,-72.5370422481365,5292,MEDIO
Concordia,Magdalena,10.23088415,-74.7586240534815,9388,ALTO
Copacabana,Antioquia,6.3600462,-75.4978699738914,70171,SIN RIESGO
Dabeiba,Antioquia,7.0015209,-76.2666243,23378,SIN RIESGO
Don Matías,Antioquia,6.5023341,-75.3945705947052,22243,SIN RIESGO
Ebéjico,Antioquia,6.3219859,-75.7831532590167,12515,SIN RIESGO
